X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2902,45834552,7398231216.0,159.5,164.5,159.0,161.4,23342,146.5,177.5,41.93548387,34.48457517,27.56096073,13.71373184
2903,53298019,8656909547.0,161.5,167.0,159.0,161.15,26291,146.5,171.5,50.0,39.65638345,31.5927683,15.46553801
2904,49126196,7611357117.0,160.0,161.0,152.0,159.25,28131,146.5,170.0,25.53191489,34.94822726,32.71125462,28.23730934
2905,69985229,10942635244.0,150.0,162.0,149.0,158.05,39947,146.5,170.0,46.80851064,38.90165506,34.77472143,26.52085419
2906,35803629,5653657620.0,159.0,161.0,155.5,158.4,20794,146.5,170.0,44.68085106,40.82805372,36.79249886,28.72138914
2907,28866383,4448952464.0,155.0,156.5,152.5,158.2,15563,146.5,167.0,31.70731707,37.78780817,37.12426863,35.79718955
2908,36464445,5710873129.0,155.0,160.5,153.0,157.1,19811,146.5,167.0,34.14634146,36.57398594,36.94084107,37.67455133
2909,50007512,7970882245.0,156.5,163.0,155.0,157.0,28373,149.0,167.0,61.11111111,44.75302766,39.54490327,29.12865447
2910,38488641,6221177273.0,162.5,166.5,157.0,156.85,32549,149.0,167.0,52.77777778,47.42794437,42.17258363,31.66186217
2911,39562466,6416231112.0,162.0,165.0,159.0,157.15,20924,149.0,167.0,66.66666667,53.8408518,46.06200636,30.50431547
2912,99591767,17140765295.0,163.5,177.0,162.5,158.35,56051,149.0,177.0,80.35714286,62.67961549,51.6012094,29.44439723
2913,84727139,15051513419.0,178.0,183.0,172.5,159.9,53561,149.0,183.0,75.0,66.78641032,56.66294304,36.41600847
2914,48907400,8557246676.0,174.5,178.0,170.5,162.45,26839,152.5,183.0,83.60655738,72.39312601,61.90633736,40.93276007
2915,79147995,14600273826.0,183.0,193.0,177.0,165.7,45477,152.5,193.0,92.59259259,79.12628154,67.64631875,44.68639319
2916,69416858,12961770746.0,187.0,191.5,182.5,168.35,48003,153.0,193.0,76.25,78.16752102,71.15338618,57.12511648
2917,51928901,9506985201.0,183.5,187.5,176.0,170.75,29886,155.0,193.0,57.89473684,71.4099263,71.23889955,70.89684606
2918,71409279,12094878925.0,173.0,177.5,159.5,171.35,43200,157.0,193.0,6.944444444,49.92143235,64.13307715,92.55636676
2919,53761524,8598529722.0,160.5,163.0,157.0,171.25,29264,157.0,193.0,5.555555556,35.13280675,54.46632035,93.13334755
2920,25383193,4046616241.0,164.0,164.0,157.0,171.1,14273,157.0,193.0,0.0,23.42187117,44.11817062,85.51076953
2921,24152152,3864679957.0,157.5,162.5,156.5,171.1,13955,156.5,193.0,12.32876712,19.72416982,35.98683702,68.51217142
2922,22664365,3583528622.0,161.0,161.5,155.0,169.8,14997,155.0,193.0,9.210526316,16.21962198,29.39776534,55.75405206
2923,17682333,2839254351.0,159.0,162.5,157.0,168.4,9950,155.0,193.0,14.47368421,15.63764273,24.8110578,43.15788796
2924,25024727,3956052316.0,160.5,162.0,155.0,166.2,16774,155.0,191.5,2.739726027,11.33833716,20.32015092,38.28377845
2925,27895011,4367601152.0,157.0,159.5,153.5,162.65,16390,153.5,187.5,2.941176471,8.539283597,16.39319515,32.10101825
2926,18309162,2854922064.0,156.5,158.5,153.5,159.7,10837,153.5,177.5,2.083333333,6.387300176,13.05789682,26.39909012
2927,17021393,2624469058.0,155.5,156.5,152.5,157.4,9846,152.5,164.0,13.04347826,8.606026204,11.57393995,17.50976744
2928,22951249,3601662599.0,155.0,159.0,153.5,157.2,12549,152.5,164.0,43.47826087,20.23010443,14.45932811,2.917775475
2929,29769394,4634281381.0,157.0,160.5,152.0,156.5,17389,152.0,162.5,0.0,13.48673628,14.13513083,15.43191993
2930,24372081,3732969950.0,150.5,157.0,150.5,156.1,13851,150.5,162.5,20.83333333,15.93560197,14.73528788,12.3346597
2931,19823993,3094151326.0,156.0,157.5,154.5,155.65,10852,150.5,162.5,50.0,27.29040131,18.92032569,2.180174445
2932,15632350,2424278591.0,156.5,157.5,153.5,155.25,10165,150.5,162.0,34.7826087,29.78780377,22.54281838,8.052847606
2933,75576786,12497907731.0,155.0,169.5,155.0,156.15,34769,150.5,169.5,100.0,53.19186918,32.75916865,-8.106232414
2934,71805087,12136541916.0,171.5,172.5,163.0,157.0,52365,150.5,172.5,63.63636364,56.67336733,40.73056821,8.844969966
2935,72990564,12705365710.0,168.0,179.0,167.0,159.2,41471,150.5,179.0,91.22807018,68.19160161,49.88424601,13.26953481
2936,116440198,21544924563.0,178.5,193.0,175.0,162.9,68884,150.5,193.0,95.29411765,77.22577363,58.99808855,22.5427184
2937,105359209,20873864492.0,197.0,203.0,192.0,167.2,76574,150.5,203.0,88.57142857,81.00765861,66.3346119,36.98851849
2938,68974342,13889535983.0,202.0,208.0,196.0,172.25,42946,150.5,208.0,100.0,87.33843907,73.33588763,45.33078473
2939,96813232,20056024011.0,204.0,211.5,200.5,178.1,59681,153.5,211.5,98.27586207,90.98424674,79.218674,55.68752851
2940,63017939,13035169942.0,209.0,210.5,201.5,182.95,47039,153.5,211.5,82.75862069,88.24237139,82.22657313,70.1949766
2941,78945974,15478395311.0,204.5,206.0,187.0,186.25,49299,155.0,211.5,61.0619469,79.18222989,81.21179205,85.27091636
2942,63384305,12411138094.0,192.0,200.0,190.0,190.7,44489,163.0,211.5,74.22680412,77.5304213,79.98466847,84.89316279
2943,48313887,9637885340.0,202.0,203.5,196.0,193.4,31913,167.0,211.5,66.29213483,73.78432581,77.91788758,86.18501112
2944,53006033,10695021779.0,198.5,204.5,198.0,196.95,29442,175.0,211.5,68.49315068,72.02060077,75.95212531,83.81517439
2945,47035238,9343846246.0,201.0,203.5,194.0,199.2,32953,187.0,211.5,48.97959184,64.34026446,72.08150503,87.56398616
2946,46517837,9403984164.0,200.5,207.5,197.0,200.8,25188,187.0,211.5,81.63265306,70.10439399,71.42246802,74.05861606
2947,35453064,7233069705.0,205.5,207.0,201.0,201.5,22113,187.0,211.5,69.3877551,69.86551436,70.90348346,72.97942167
2948,25108688,5107201409.0,205.0,207.0,200.0,200.7,15236,187.0,210.5,55.31914894,65.01672589,68.94123094,76.79024104
2949,25162355,5057959142.0,202.5,204.5,198.5,199.55,15361,187.0,207.5,58.53658537,62.85667905,66.91304697,75.02578283
2950,16031113,3194324186.0,200.5,201.0,197.5,199.3,8716,190.0,207.5,51.42857143,59.04730984,64.2911346,74.77878411
2951,36358426,7381231762.0,200.0,206.0,199.0,200.4,19531,194.0,207.5,48.14814815,55.41425594,61.33217505,73.16801325
2952,19890670,4008664182.0,201.0,204.0,200.0,200.6,13092,194.0,207.5,51.85185185,54.22678791,58.96371267,68.43756218
X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2901,69972012,11258294121.0,158.0,165.5,157.0,162.75,35185,146.5,177.5,37.09677419,30.75912082,24.0991535,10.77921886
2902,45834552,7398231216.0,159.5,164.5,159.0,161.4,23342,146.5,177.5,41.93548387,34.48457517,27.56096073,13.71373184
2903,53298019,8656909547.0,161.5,167.0,159.0,161.15,26291,146.5,171.5,50.0,39.65638345,31.5927683,15.46553801
2904,49126196,7611357117.0,160.0,161.0,152.0,159.25,28131,146.5,170.0,25.53191489,34.94822726,32.71125462,28.23730934
2905,69985229,10942635244.0,150.0,162.0,149.0,158.05,39947,146.5,170.0,46.80851064,38.90165506,34.77472143,26.52085419
2906,35803629,5653657620.0,159.0,161.0,155.5,158.4,20794,146.5,170.0,44.68085106,40.82805372,36.79249886,28.72138914
2907,28866383,4448952464.0,155.0,156.5,152.5,158.2,15563,146.5,167.0,31.70731707,37.78780817,37.12426863,35.79718955
2908,36464445,5710873129.0,155.0,160.5,153.0,157.1,19811,146.5,167.0,34.14634146,36.57398594,36.94084107,37.67455133
2909,50007512,7970882245.0,156.5,163.0,155.0,157.0,28373,149.0,167.0,61.11111111,44.75302766,39.54490327,29.12865447
2910,38488641,6221177273.0,162.5,166.5,157.0,156.85,32549,149.0,167.0,52.77777778,47.42794437,42.17258363,31.66186217
2911,39562466,6416231112.0,162.0,165.0,159.0,157.15,20924,149.0,167.0,66.66666667,53.8408518,46.06200636,30.50431547
2912,99591767,17140765295.0,163.5,177.0,162.5,158.35,56051,149.0,177.0,80.35714286,62.67961549,51.6012094,29.44439723
2913,84727139,15051513419.0,178.0,183.0,172.5,159.9,53561,149.0,183.0,75.0,66.78641032,56.66294304,36.41600847
2914,48907400,8557246676.0,174.5,178.0,170.5,162.45,26839,152.5,183.0,83.60655738,72.39312601,61.90633736,40.93276007
2915,79147995,14600273826.0,183.0,193.0,177.0,165.7,45477,152.5,193.0,92.59259259,79.12628154,67.64631875,44.68639319
2916,69416858,12961770746.0,187.0,191.5,182.5,168.35,48003,153.0,193.0,76.25,78.16752102,71.15338618,57.12511648
2917,51928901,9506985201.0,183.5,187.5,176.0,170.75,29886,155.0,193.0,57.89473684,71.4099263,71.23889955,70.89684606
2918,71409279,12094878925.0,173.0,177.5,159.5,171.35,43200,157.0,193.0,6.944444444,49.92143235,64.13307715,92.55636676
2919,53761524,8598529722.0,160.5,163.0,157.0,171.25,29264,157.0,193.0,5.555555556,35.13280675,54.46632035,93.13334755
2920,25383193,4046616241.0,164.0,164.0,157.0,171.1,14273,157.0,193.0,0.0,23.42187117,44.11817062,85.51076953
2921,24152152,3864679957.0,157.5,162.5,156.5,171.1,13955,156.5,193.0,12.32876712,19.72416982,35.98683702,68.51217142
2922,22664365,3583528622.0,161.0,161.5,155.0,169.8,14997,155.0,193.0,9.210526316,16.21962198,29.39776534,55.75405206
2923,17682333,2839254351.0,159.0,162.5,157.0,168.4,9950,155.0,193.0,14.47368421,15.63764273,24.8110578,43.15788796
2924,25024727,3956052316.0,160.5,162.0,155.0,166.2,16774,155.0,191.5,2.739726027,11.33833716,20.32015092,38.28377845
2925,27895011,4367601152.0,157.0,159.5,153.5,162.65,16390,153.5,187.5,2.941176471,8.539283597,16.39319515,32.10101825
2926,18309162,2854922064.0,156.5,158.5,153.5,159.7,10837,153.5,177.5,2.083333333,6.387300176,13.05789682,26.39909012
2927,17021393,2624469058.0,155.5,156.5,152.5,157.4,9846,152.5,164.0,13.04347826,8.606026204,11.57393995,17.50976744
2928,22951249,3601662599.0,155.0,159.0,153.5,157.2,12549,152.5,164.0,43.47826087,20.23010443,14.45932811,2.917775475
2929,29769394,4634281381.0,157.0,160.5,152.0,156.5,17389,152.0,162.5,0.0,13.48673628,14.13513083,15.43191993
2930,24372081,3732969950.0,150.5,157.0,150.5,156.1,13851,150.5,162.5,20.83333333,15.93560197,14.73528788,12.3346597
2931,19823993,3094151326.0,156.0,157.5,154.5,155.65,10852,150.5,162.5,50.0,27.29040131,18.92032569,2.180174445
2932,15632350,2424278591.0,156.5,157.5,153.5,155.25,10165,150.5,162.0,34.7826087,29.78780377,22.54281838,8.052847606
2933,75576786,12497907731.0,155.0,169.5,155.0,156.15,34769,150.5,169.5,100.0,53.19186918,32.75916865,-8.106232414
2934,71805087,12136541916.0,171.5,172.5,163.0,157.0,52365,150.5,172.5,63.63636364,56.67336733,40.73056821,8.844969966
2935,72990564,12705365710.0,168.0,179.0,167.0,159.2,41471,150.5,179.0,91.22807018,68.19160161,49.88424601,13.26953481
2936,116440198,21544924563.0,178.5,193.0,175.0,162.9,68884,150.5,193.0,95.29411765,77.22577363,58.99808855,22.5427184
2937,105359209,20873864492.0,197.0,203.0,192.0,167.2,76574,150.5,203.0,88.57142857,81.00765861,66.3346119,36.98851849
2938,68974342,13889535983.0,202.0,208.0,196.0,172.25,42946,150.5,208.0,100.0,87.33843907,73.33588763,45.33078473
2939,96813232,20056024011.0,204.0,211.5,200.5,178.1,59681,153.5,211.5,98.27586207,90.98424674,79.218674,55.68752851
2940,63017939,13035169942.0,209.0,210.5,201.5,182.95,47039,153.5,211.5,82.75862069,88.24237139,82.22657313,70.1949766
2941,78945974,15478395311.0,204.5,206.0,187.0,186.25,49299,155.0,211.5,61.0619469,79.18222989,81.21179205,85.27091636
2942,63384305,12411138094.0,192.0,200.0,190.0,190.7,44489,163.0,211.5,74.22680412,77.5304213,79.98466847,84.89316279
2943,48313887,9637885340.0,202.0,203.5,196.0,193.4,31913,167.0,211.5,66.29213483,73.78432581,77.91788758,86.18501112
2944,53006033,10695021779.0,198.5,204.5,198.0,196.95,29442,175.0,211.5,68.49315068,72.02060077,75.95212531,83.81517439
2945,47035238,9343846246.0,201.0,203.5,194.0,199.2,32953,187.0,211.5,48.97959184,64.34026446,72.08150503,87.56398616
2946,46517837,9403984164.0,200.5,207.5,197.0,200.8,25188,187.0,211.5,81.63265306,70.10439399,71.42246802,74.05861606
2947,35453064,7233069705.0,205.5,207.0,201.0,201.5,22113,187.0,211.5,69.3877551,69.86551436,70.90348346,72.97942167
2948,25108688,5107201409.0,205.0,207.0,200.0,200.7,15236,187.0,210.5,55.31914894,65.01672589,68.94123094,76.79024104
2949,25162355,5057959142.0,202.5,204.5,198.5,199.55,15361,187.0,207.5,58.53658537,62.85667905,66.91304697,75.02578283
2950,16031113,3194324186.0,200.5,201.0,197.5,199.3,8716,190.0,207.5,51.42857143,59.04730984,64.2911346,74.77878411
2951,36358426,7381231762.0,200.0,206.0,199.0,200.4,19531,194.0,207.5,48.14814815,55.41425594,61.33217505,73.16801325
2952,19890670,4008664182.0,201.0,204.0,200.0,200.6,13092,194.0,207.5,51.85185185,54.22678791,58.96371267,68.43756218
