X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2918,347748,16887581,48.7,48.75,48.45,48.78,298,48.25,49.35,31.81818182,40.02174735,37.96341094,33.84673813
2919,179082,8719160,48.6,48.85,48.5,48.815000000000005,182,48.45,49.35,33.33333333,37.79227601,37.90636596,38.13454587
2920,301782,14709226,48.7,48.9,48.6,48.84,238,48.45,49.35,27.77777778,34.45410993,36.75561395,41.35862199
2921,179975,8792402,48.7,48.95,48.65,48.87,185,48.45,49.35,55.55555556,41.48792514,38.33305101,32.02330276
2922,315636,15425917,48.85,48.95,48.8,48.86,267,48.45,49.3,58.82352941,47.2664599,41.31085398,29.39964213
2923,310236,15152138,48.8,48.95,48.7,48.83,294,48.45,49.05,83.33333333,59.28875104,47.30348633,23.33295691
2924,269561,13233385,48.95,49.3,48.95,48.839999999999996,252,48.45,49.3,76.47058824,65.01603011,53.20766759,29.59094256
2925,293101,14323254,49.1,49.1,48.8,48.835,255,48.45,49.3,47.05882353,59.03029458,55.14854325,47.3850406
2926,899192,44380311,48.9,49.8,48.85,48.940000000000005,689,48.45,49.8,96.2962963,71.45229515,60.58312722,38.84479135
2927,623677,31011458,49.75,50.2,49.25,49.015,645,48.5,50.2,61.76470588,68.22309873,63.12978439,52.94315571
2928,409492,20359839,49.6,49.9,49.45,49.14,401,48.6,50.2,78.125,71.52373249,65.92776709,54.73583629
2929,651848,32443898,49.85,50.2,49.45,49.245,616,48.65,50.2,74.19354839,72.41367112,68.0897351,59.44186306
2930,481537,23712761,49.2,49.6,48.95,49.315,415,48.7,50.2,46.66666667,63.8313363,66.67026883,72.3481339
2931,522862,25737232,49.45,49.8,49.05,49.325,445,48.7,50.2,23.33333333,50.33200198,61.22417988,83.00853569
2932,264711,12980122,49.4,49.4,48.85,49.335,255,48.8,50.2,17.85714286,39.50704894,53.98513623,82.94131083
2933,218887,10689147,48.95,49.05,48.7,49.32,228,48.7,50.2,6.666666667,28.56025485,45.51017577,79.41001762
2934,214068,10459446,48.65,49.1,48.65,49.315,216,48.65,50.2,25.80645161,27.64232044,39.55422399,63.37803111
2935,205065,10037238,49.1,49.15,48.7,49.32,201,48.65,50.2,16.12903226,23.80455771,34.30433523,55.30389028
2936,286691,14037575,48.85,49.1,48.85,49.235,230,48.65,50.2,16.12903226,21.24604923,29.95157323,47.36262124
2937,224895,11019838,49.25,49.25,48.85,49.19,197,48.65,50.2,29.03225806,23.84145217,27.91486621,36.06169429
2938,168773,8287771,49.15,49.3,49.0,49.114999999999995,160,48.65,49.8,39.13043478,28.93777971,28.25583738,26.89195271
2939,258306,12660743,49.1,49.2,48.9,49.04,193,48.65,49.8,34.7826087,30.88605604,29.13257693,25.62561872
2940,251766,12365256,49.05,49.2,49.05,49.015,221,48.65,49.4,66.66666667,42.81292625,33.69269337,15.45222761
2941,251871,12355144,49.15,49.2,49.0,49.015,273,48.65,49.3,61.53846154,49.05477134,38.81338603,18.33061539
2942,272847,13403599,49.05,49.25,49.0,49.015,260,48.65,49.3,61.53846154,53.21600141,43.61425782,24.41077065
2943,256507,12651113,49.3,49.5,49.1,49.074999999999996,277,48.7,49.5,87.5,64.64400094,50.62417219,22.5845147
2944,208723,10314903,49.5,49.6,49.3,49.105000000000004,287,48.85,49.6,66.66666667,65.31822285,55.52218908,35.93012154
2945,175917,8668953,49.35,49.5,49.15,49.14,213,48.85,49.6,53.33333333,61.32325968,57.45587928,49.72111848
2946,295010,14518552,49.25,49.45,49.1,49.195,247,48.9,49.6,78.57142857,67.07264931,60.66146929,47.83910925
2947,250370,12353123,49.3,49.45,49.3,49.214999999999996,221,48.9,49.6,57.14285714,63.76271859,61.69521905,57.56021999
2948,217444,10708833,49.4,49.4,49.2,49.235,200,49.0,49.6,50.0,59.17514572,60.85519461,64.21529238
2949,231546,11413301,49.2,49.45,49.15,49.260000000000005,233,49.0,49.6,50.0,56.11676382,59.27571768,65.59362541
2950,398159,19774794,49.4,49.85,49.35,49.32000000000001,350,49.0,49.85,88.23529412,66.82294058,61.79145865,51.72849478
2951,983992,49414378,50.3,50.7,50.0,49.425,837,49.1,50.7,62.5,65.38196039,62.98829256,58.20095691
2952,578569,28996479,50.3,50.4,50.0,49.53,595,49.1,50.7,62.5,64.42130693,63.46596402,61.5552782
X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2901,1133638,57796642,50.6,51.3,50.5,50.125,906,49.4,51.3,89.47368421,69.97586498,65.45187102,56.40388311
2902,2041821,106013928,52.0,52.4,51.5,50.275,1510,49.4,52.4,80.0,73.31724332,68.07366179,57.58649873
2903,2237604,113361929,51.0,51.2,50.1,50.435,1593,49.4,52.4,60.0,68.87816222,68.3418286,67.26916137
2904,1346721,67334900,50.8,50.8,49.8,50.415,1025,49.4,52.4,13.33333333,50.36321925,62.34895882,86.32043794
2905,384592,19182793,49.7,50.2,49.7,50.385,307,49.4,52.4,13.33333333,38.01992395,54.23928053,86.67799369
2906,471752,23486137,49.75,49.95,49.65,50.325,345,49.4,52.4,13.33333333,29.79106041,46.08987382,78.68750065
2907,918096,45246226,49.7,49.75,49.1,50.245000000000005,644,49.1,52.4,0.0,19.86070694,37.34681819,72.3190407
2908,693001,33775828,49.0,49.0,48.65,50.135000000000005,592,48.65,52.4,1.333333333,13.68491574,29.45951738,61.00872065
2909,796530,38547735,48.75,48.8,48.2,49.989999999999995,720,48.2,52.4,4.761904762,10.71057875,23.20987117,48.20845601
2910,604821,29262867,48.3,48.6,48.25,49.815,405,48.2,52.4,5.952380952,9.124512815,18.51475172,37.29522952
2911,521455,25408248,48.45,49.05,48.45,49.57,440,48.2,51.2,15.0,11.08300854,16.03750399,25.94649489
2912,328395,16063506,48.75,49.15,48.75,49.295,336,48.2,50.8,32.69230769,18.28610826,16.78703875,13.78889972
2913,296566,14591236,49.25,49.35,49.1,49.1,310,48.2,50.2,52.5,29.69073884,21.08827211,3.883338655
2914,238844,11700670,49.3,49.3,48.9,49.02,369,48.2,49.95,45.71428571,35.03192113,25.73615512,7.144623092
2915,284366,13915249,49.0,49.05,48.85,48.93,270,48.2,49.75,45.16129032,38.40837753,29.96022925,13.06393271
2916,308986,15045487,49.0,49.0,48.55,48.82,301,48.2,49.35,43.47826087,40.09833864,33.33959905,19.82211987
2917,196071,9568029,48.7,49.05,48.65,48.79,214,48.2,49.35,52.17391304,44.12353011,36.93424274,22.55566799
2918,347748,16887581,48.7,48.75,48.45,48.78,298,48.25,49.35,31.81818182,40.02174735,37.96341094,33.84673813
2919,179082,8719160,48.6,48.85,48.5,48.815000000000005,182,48.45,49.35,33.33333333,37.79227601,37.90636596,38.13454587
2920,301782,14709226,48.7,48.9,48.6,48.84,238,48.45,49.35,27.77777778,34.45410993,36.75561395,41.35862199
